epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.658,1.89171,4.18062,1.23327,0.73595,0.09158,0.09421,0.06727,1.54186,2.44018,1.0391,7.55663e-05,7.55663e-05,7.55663e-05
2,212.417,1.7087,2.52145,1.10114,0.55513,0.13443,0.13947,0.09282,1.47107,1.8709,1.01665,0.000136261,0.000136261,0.000136261
3,313.543,1.63143,2.12262,1.07606,0.51054,0.17845,0.1789,0.11607,1.40132,1.53481,1.00486,0.000181974,0.000181974,0.000181974
4,412.965,1.57121,1.91145,1.05556,0.47548,0.22965,0.23021,0.15151,1.32793,1.36525,0.97962,0.000159581,0.000159581,0.000159581
5,514.041,1.50514,1.77855,1.03739,0.50042,0.24158,0.24925,0.16428,1.30498,1.30525,0.9779,0.000137108,0.000137108,0.000137108
6,619.584,1.48077,1.67584,1.02465,0.56608,0.24792,0.26805,0.17388,1.26822,1.24808,0.96575,0.000114635,0.000114635,0.000114635
7,720.73,1.44541,1.60966,1.00787,0.59961,0.26034,0.2754,0.17775,1.258,1.202,0.95981,9.2162e-05,9.2162e-05,9.2162e-05
8,824.07,1.43127,1.55667,1.00786,0.50033,0.28571,0.29064,0.19437,1.22083,1.15083,0.94998,6.9689e-05,6.9689e-05,6.9689e-05
9,926.07,1.39537,1.4959,0.9975,0.55276,0.28144,0.29679,0.19696,1.20078,1.13514,0.94789,4.7216e-05,4.7216e-05,4.7216e-05
10,1038.69,1.37214,1.46568,0.99041,0.52952,0.27938,0.30011,0.1999,1.20167,1.11248,0.94339,2.4743e-05,2.4743e-05,2.4743e-05
